,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
261,3rd,"(643, 265)","(787, 255)","(715, 260)","(730, 357)","(1433, 592)","[[-3.01819725]
 [ 0.16203711]
 [ 0.30616394]]","[[ 971.59554621]
 [  80.61297564]
 [1407.73489991]]"
262,3rd,"(640, 263)","(784, 252)","(712, 257)","(729, 355)","(1636, 553)","[[-3.06259282]
 [ 0.15974926]
 [ 0.21262645]]","[[ 952.72694564]
 [  74.96030025]
 [1374.71393159]]"
263,3rd,"(645, 256)","(787, 247)","(716, 251)","(733, 351)","(1511, 555)","[[-3.03618953]
 [ 0.14560323]
 [ 0.26715073]]","[[ 980.67884069]
 [  66.78305934]
 [1403.59656282]]"
264,3rd,"(648, 253)","(789, 242)","(718, 247)","(736, 344)","(1718, 518)","[[-3.06415081]
 [ 0.15481462]
 [ 0.17454545]]","[[ 977.33166451]
 [  53.03094663]
 [1376.78756993]]"
265,3rd,"(630, 262)","(770, 250)","(700, 256)","(715, 350)","(1720, 501)","[[-3.08624425]
 [ 0.15688059]
 [ 0.07741135]]","[[ 947.95133573]
 [  67.79187569]
 [1397.13329791]]"
266,3rd,"(620, 271)","(758, 259)","(689, 265)","(702, 360)","(1351, 531)","[[-3.06908166]
 [ 0.13420367]
 [ 0.27016748]]","[[ 938.43011693]
 [  96.27499403]
 [1444.30684255]]"
267,3rd,"(614, 269)","(750, 257)","(682, 263)","(697, 356)","(1119, 515)","[[-3.04288946]
 [ 0.15668737]
 [ 0.43109905]]","[[ 927.15835046]
 [  86.60352892]
 [1465.06371063]]"
268,3rd,"(618, 256)","(757, 245)","(687, 250)","(701, 345)","(1359, 487)","[[-3.06422867]
 [ 0.15527461]
 [ 0.25326167]]","[[ 937.96870418]
 [  58.78693543]
 [1448.72145402]]"
269,3rd,"(629, 247)","(768, 236)","(698, 241)","(716, 337)","(1739, 486)","[[-3.06381102]
 [ 0.18105497]
 [ 0.09732393]]","[[ 929.38992866]
 [  32.05181634]
 [1376.82541279]]"
270,3rd,"(643, 241)","(780, 234)","(711, 237)","(719, 328)","(1164, 447)","[[-3.02484895]
 [ 0.11099076]
 [ 0.42715897]]","[[1006.14722385]
 [  22.66923221]
 [1495.03605111]]"
271,3rd,"(642, 222)","(780, 218)","(711, 220)","(718, 308)","(1088, 429)","[[-2.98464605]
 [ 0.11645822]
 [ 0.49656662]]","[[ 979.66696667]
 [ -24.61477122]
 [1473.21597671]]"
272,3rd,"(633, 227)","(771, 222)","(702, 224)","(710, 302)","(1171, 307)","[[-3.09423924]
 [ 0.10996706]
 [ 0.40893072]]","[[ 974.72244187]
 [ -31.43245709]
 [1486.20158367]]"
