,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
91,3rd,"(712, 263)","(861, 263)","(786, 263)","(812, 395)","(3637, 1144)","[[-3.027082  ]
 [ 0.0465439 ]
 [ 0.08139177]]","[[ 978.56314688]
 [ 118.24023483]
 [1166.38533212]]"
92,3rd,"(730, 251)","(868, 252)","(799, 251)","(823, 384)","(3953, 1096)","[[-3.02996127]
 [ 0.05783508]
 [ 0.03346376]]","[[ 996.1644146 ]
 [  99.12603468]
 [1161.20985276]]"
93,3rd,"(736, 244)","(866, 246)","(801, 245)","(830, 376)","(4232, 1009)","[[-3.04460706]
 [ 0.0494697 ]
 [-0.01182695]]","[[1008.28147162]
 [  84.75912468]
 [1157.53583947]]"
94,3rd,"(736, 241)","(873, 241)","(804, 241)","(830, 374)","(4425, 1029)","[[-3.04285008]
 [ 0.05260847]
 [-0.01907134]]","[[1003.13036209]
 [  79.54263395]
 [1149.67320108]]"
95,3rd,"(735, 239)","(877, 238)","(806, 238)","(828, 371)","(4620, 1169)","[[-3.02310413]
 [ 0.07000816]
 [ 0.03777269]]","[[ 980.48363597]
 [  72.85664364]
 [1131.83346996]]"
96,3rd,"(732, 237)","(866, 239)","(799, 238)","(826, 368)","(4405, 1002)","[[-3.04518778]
 [ 0.05327656]
 [ 0.01085091]]","[[ 989.17654759]
 [  69.90580263]
 [1145.59804908]]"
97,4th,"(632, 219)","(768, 221)","(700, 220)","(677, 357)","(118, 507)","[[-2.44040834]
 [ 0.08654567]
 [ 1.63151903]]","[[ 646.44208211]
 [  60.70426543]
 [1209.93229381]]"
98,4th,"(624, 231)","(754, 224)","(689, 227)","(658, 362)","(106, 485)","[[-2.49922303]
 [ 0.08815504]
 [ 1.62585506]]","[[ 628.61311987]
 [  66.0674559 ]
 [1229.43654596]]"
99,4th,"(626, 233)","(758, 225)","(692, 229)","(660, 363)","(110, 492)","[[-2.52069572]
 [ 0.09502245]
 [ 1.60167315]]","[[ 633.28718637]
 [  69.40532443]
 [1225.75092883]]"
100,4th,"(624, 235)","(756, 224)","(690, 229)","(658, 363)","(111, 491)","[[-2.54366989]
 [ 0.09450159]
 [ 1.57811736]]","[[ 631.24385238]
 [  69.28788854]
 [1226.69942519]]"
101,4th,"(625, 229)","(754, 219)","(689, 224)","(658, 359)","(101, 492)","[[-2.52709005]
 [ 0.09052698]
 [ 1.58293365]]","[[ 624.05539804]
 [  60.19197671]
 [1212.53634265]]"
102,3rd,"(677, 261)","(789, 256)","(733, 258)","(711, 392)","(1012, 732)","[[-2.95362415]
 [ 0.03398227]
 [ 0.6628506 ]]","[[ 818.09592402]
 [ 119.74327517]
 [1249.1129643 ]]"
103,4th,"(655, 258)","(796, 257)","(725, 257)","(710, 393)","(232, 550)","[[-2.61651708]
 [ 0.10720167]
 [ 1.46092304]]","[[ 746.11757628]
 [ 121.6304415 ]
 [1255.10367892]]"
104,4th,"(642, 261)","(797, 267)","(719, 264)","(709, 397)","(287, 628)","[[-2.64285654]
 [ 0.1095759 ]
 [ 1.31470009]]","[[ 755.97003495]
 [ 137.35144343]
 [1257.19646081]]"
105,3rd,"(644, 267)","(802, 275)","(723, 271)","(715, 406)","(1348, 870)","[[-2.98429238]
 [ 0.01628112]
 [ 0.54078108]]","[[ 812.74741066]
 [ 140.90016268]
 [1210.20475212]]"
106,3rd,"(655, 271)","(806, 277)","(730, 274)","(718, 409)","(1252, 858)","[[-2.97448453]
 [ 0.03128432]
 [ 0.57925485]]","[[ 821.41128265]
 [ 147.70071274]
 [1219.31289043]]"
107,3rd,"(649, 272)","(801, 275)","(725, 273)","(724, 408)","(1749, 982)","[[-2.99571937]
 [ 0.02533592]
 [ 0.40406724]]","[[ 835.23071223]
 [ 147.3558588 ]
 [1206.32032192]]"
108,3rd,"(644, 257)","(806, 254)","(725, 255)","(722, 386)","(1880, 873)","[[-3.00028831]
 [ 0.06294463]
 [ 0.28329085]]","[[ 858.79238369]
 [ 111.13165103]
 [1243.37237479]]"
109,3rd,"(630, 232)","(783, 229)","(706, 230)","(715, 360)","(2107, 875)","[[-2.97716151]
 [ 0.09903914]
 [ 0.2292506 ]]","[[ 822.28662573]
 [  54.10160991]
 [1211.63351243]]"
110,3rd,"(628, 205)","(786, 195)","(707, 200)","(715, 330)","(2117, 786)","[[-2.95803719]
 [ 0.13868052]
 [ 0.24736607]]","[[ 814.34367319]
 [  -3.5462878 ]
 [1199.51322878]]"
111,3rd,"(623, 199)","(788, 190)","(705, 194)","(715, 322)","(1950, 789)","[[-2.9296615 ]
 [ 0.14661044]
 [ 0.284696  ]]","[[ 811.02988077]
 [ -17.99027953]
 [1203.16719179]]"
112,3rd,"(621, 192)","(778, 181)","(699, 186)","(715, 313)","(2247, 715)","[[-2.95703879]
 [ 0.15274014]
 [ 0.19484238]]","[[ 814.31688216]
 [ -34.98622804]
 [1200.28222745]]"
113,3rd,"(620, 170)","(779, 156)","(699, 163)","(716, 290)","(2322, 709)","[[-2.92117956]
 [ 0.17416716]
 [ 0.19389339]]","[[ 803.81564543]
 [ -78.64937967]
 [1182.93852161]]"
114,3rd,"(625, 163)","(796, 152)","(710, 157)","(721, 286)","(2345, 584)","[[-2.95263306]
 [ 0.14369941]
 [ 0.16396149]]","[[ 828.3521488 ]
 [ -87.45818513]
 [1201.22901263]]"
115,3rd,"(606, 192)","(760, 184)","(683, 188)","(686, 323)","(1897, 753)","[[-2.94862687]
 [ 0.09533015]
 [ 0.26720437]]","[[ 761.37207449]
 [ -19.65182798]
 [1200.02317138]]"
116,3rd,"(604, 196)","(760, 190)","(682, 193)","(682, 327)","(964, 684)","[[-2.87521092]
 [ 0.1279943 ]
 [ 0.61021664]]","[[ 746.97694058]
 [  -9.52194469]
 [1234.49350123]]"
117,3rd,"(606, 189)","(760, 183)","(683, 186)","(684, 319)","(1153, 696)","[[-2.88792532]
 [ 0.12633868]
 [ 0.52058047]]","[[ 755.86520551]
 [ -22.93024204]
 [1228.7915878 ]]"
118,3rd,"(634, 155)","(788, 150)","(711, 152)","(709, 288)","(1872, 595)","[[-2.93100614]
 [ 0.06738471]
 [ 0.3145929 ]]","[[ 810.51253657]
 [ -85.81811819]
 [1201.13572691]]"
119,3rd,"(647, 174)","(797, 169)","(722, 171)","(718, 297)","(1828, 568)","[[-2.95621151]
 [ 0.05056365]
 [ 0.31047334]]","[[ 842.77473046]
 [ -62.69871161]
 [1227.73008049]]"
120,3rd,"(651, 178)","(817, 171)","(734, 174)","(721, 296)","(1579, 554)","[[-2.93998997]
 [ 0.0483566 ]
 [ 0.37929931]]","[[ 861.80394359]
 [ -61.36928148]
 [1254.36549692]]"
121,3rd,"(654, 172)","(817, 166)","(735, 169)","(724, 288)","(1581, 573)","[[-2.91776434]
 [ 0.05532625]
 [ 0.36682195]]","[[ 873.42295096]
 [ -71.91113894]
 [1260.53258749]]"
122,3rd,"(661, 169)","(815, 164)","(738, 166)","(728, 280)","(1509, 489)","[[-2.9365868 ]
 [ 0.03819333]
 [ 0.39443761]]","[[ 894.73570128]
 [ -85.50335206]
 [1280.6654624 ]]"
