,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
131,3rd,"(633, 263)","(755, 284)","(694, 273)","(715, 354)","(1724, 388)","[[-3.16287279]
 [-0.19034544]
 [-0.11119782]]","[[ 964.68924808]
 [  80.64452392]
 [1455.72238156]]"
132,3rd,"(634, 263)","(756, 285)","(695, 274)","(716, 352)","(1710, 355)","[[-3.18423979]
 [-0.20970384]
 [-0.10760352]]","[[ 968.82047183]
 [  78.50106647]
 [1460.99353153]]"
133,3rd,"(638, 263)","(760, 285)","(699, 274)","(719, 353)","(1699, 364)","[[-3.17964145]
 [-0.21647926]
 [-0.09357052]]","[[ 979.41487147]
 [  81.97004251]
 [1466.24631849]]"
134,3rd,"(644, 263)","(765, 286)","(704, 274)","(725, 353)","(1722, 360)","[[-3.18137962]
 [-0.22381672]
 [-0.10520835]]","[[ 996.05610439]
 [  80.74768081]
 [1468.81835012]]"
135,3rd,"(650, 261)","(771, 285)","(710, 273)","(730, 353)","(1733, 361)","[[-3.17982015]
 [-0.23602465]
 [-0.09338775]]","[[1009.74135906]
 [  80.45403983]
 [1468.62833042]]"
136,3rd,"(654, 261)","(776, 285)","(715, 273)","(735, 353)","(1828, 359)","[[-3.18316421]
 [-0.24088358]
 [-0.10873951]]","[[1002.08070908]
 [  80.72770955]
 [1439.10185955]]"
137,2nd,"(654, 263)","(776, 287)","(715, 275)","(732, 354)","(1805, 352)","[[-3.19256963]
 [-0.25158378]
 [-0.10333032]]","[[1003.40080532]
 [  86.24602267]
 [1444.98794554]]"
138,3rd,"(652, 264)","(774, 288)","(713, 276)","(734, 356)","(1826, 380)","[[-3.1776776 ]
 [-0.24024787]
 [-0.11639878]]","[[1006.57844651]
 [  90.33273907]
 [1443.2826744 ]]"
139,3rd,"(645, 265)","(766, 288)","(705, 276)","(730, 357)","(1774, 369)","[[-3.18747399]
 [-0.22318286]
 [-0.09932501]]","[[1002.5700798 ]
 [  92.24849083]
 [1453.38629066]]"
140,3rd,"(644, 265)","(765, 287)","(704, 276)","(730, 357)","(1766, 387)","[[-3.17514014]
 [-0.22367975]
 [-0.09199469]]","[[1001.14604665]
 [  93.32274953]
 [1453.77094584]]"
141,3rd,"(644, 266)","(765, 288)","(704, 277)","(728, 357)","(1812, 385)","[[-3.17834939]
 [-0.2230588 ]
 [-0.1124807 ]]","[[ 991.08503741]
 [  93.28820107]
 [1440.11822269]]"
142,3rd,"(663, 278)","(755, 296)","(709, 287)","(728, 358)","(1631, 400)","[[-3.16936546]
 [-0.2163801 ]
 [-0.07252658]]","[[1032.03739246]
 [ 104.94715283]
 [1510.07826505]]"
143,3rd,"(644, 277)","(765, 297)","(704, 287)","(723, 360)","(1597, 386)","[[-3.18326185]
 [-0.22674467]
 [-0.04394877]]","[[1016.78325711]
 [ 108.56429073]
 [1507.977982  ]]"
144,3rd,"(643, 280)","(765, 300)","(704, 290)","(721, 367)","(1625, 443)","[[-3.15423655]
 [-0.21216129]
 [-0.05293876]]","[[1005.29209596]
 [ 121.71382392]
 [1494.17700314]]"
145,3rd,"(637, 282)","(761, 303)","(699, 292)","(714, 376)","(1810, 506)","[[-3.1405378 ]
 [-0.20288583]
 [-0.14506421]]","[[ 959.59990709]
 [ 138.83374788]
 [1434.52651684]]"
146,3rd,"(632, 286)","(757, 304)","(694, 295)","(709, 380)","(1906, 538)","[[-3.13869015]
 [-0.19557266]
 [-0.1655466 ]]","[[ 927.86164258]
 [ 147.32937984]
 [1399.40344746]]"
147,3rd,"(630, 286)","(755, 305)","(692, 295)","(708, 381)","(1873, 548)","[[-3.13248937]
 [-0.18900909]
 [-0.15272005]]","[[ 925.95880522]
 [ 148.86411876]
 [1404.72864402]]"
148,3rd,"(630, 288)","(755, 307)","(692, 297)","(707, 385)","(1798, 542)","[[-3.13620835]
 [-0.17366106]
 [-0.12237063]]","[[ 934.99047743]
 [ 154.2300878 ]
 [1423.01513931]]"
149,3rd,"(626, 290)","(752, 308)","(689, 299)","(702, 388)","(1729, 563)","[[-3.12384629]
 [-0.14951469]
 [-0.09377414]]","[[ 929.33179528]
 [ 159.79160904]
 [1434.11126925]]"
150,3rd,"(623, 290)","(750, 307)","(686, 298)","(700, 386)","(1776, 550)","[[-3.13627312]
 [-0.15914842]
 [-0.09856672]]","[[ 912.98558272]
 [ 155.96464746]
 [1414.54495946]]"
151,3rd,"(602, 292)","(729, 307)","(665, 299)","(684, 387)","(1671, 560)","[[-3.13285411]
 [-0.12866172]
 [-0.0457876 ]]","[[ 874.1340882 ]
 [ 157.70731764]
 [1414.76628862]]"
152,3rd,"(587, 294)","(717, 305)","(652, 299)","(671, 386)","(1510, 556)","[[-3.12759649]
 [-0.09865863]
 [ 0.02702339]]","[[ 852.1571864 ]
 [ 158.20627539]
 [1435.0101963 ]]"
153,3rd,"(581, 292)","(710, 303)","(645, 297)","(663, 386)","(1486, 577)","[[-3.11447798]
 [-0.07458736]
 [ 0.03656937]]","[[ 831.55670043]
 [ 157.05919107]
 [1429.29373019]]"
154,3rd,"(577, 298)","(708, 307)","(642, 302)","(654, 387)","(1419, 561)","[[-3.12918932]
 [-0.07297787]
 [ 0.06078315]]","[[ 813.27957299]
 [ 164.22284702]
 [1436.41112737]]"
155,3rd,"(572, 298)","(704, 307)","(638, 302)","(645, 387)","(1325, 558)","[[-3.12584714]
 [-0.07230059]
 [ 0.11145689]]","[[ 797.87809173]
 [ 165.22174363]
 [1445.33699127]]"
156,3rd,"(564, 301)","(696, 309)","(630, 305)","(636, 390)","(1256, 576)","[[-3.11669271]
 [-0.0523718 ]
 [ 0.14698308]]","[[ 776.12132269]
 [ 171.33340236]
 [1446.71807479]]"
157,3rd,"(553, 300)","(684, 306)","(618, 303)","(628, 391)","(1241, 589)","[[-3.11196873]
 [-0.04248208]
 [ 0.14817948]]","[[ 753.82958046]
 [ 171.56218244]
 [1438.16529341]]"
158,3rd,"(550, 300)","(681, 306)","(615, 303)","(624, 390)","(1129, 580)","[[-3.10432669]
 [-0.02610692]
 [ 0.21714042]]","[[ 749.54003849]
 [ 172.10021378]
 [1456.72049436]]"
159,3rd,"(542, 306)","(673, 310)","(607, 308)","(615, 391)","(1060, 569)","[[-3.11115594]
 [-0.01609602]
 [ 0.2453975 ]]","[[ 731.53498221]
 [ 177.52857595]
 [1467.69659398]]"
160,3rd,"(539, 307)","(671, 311)","(605, 309)","(612, 392)","(994, 566)","[[ 3.15132167e+00]
 [-2.47327728e-03]
 [-2.89395516e-01]]","[[ 730.77855734]
 [ 181.71706446]
 [1485.8600516 ]]"
161,3rd,"(537, 305)","(668, 308)","(602, 306)","(609, 389)","(974, 555)","[[-3.10681447]
 [-0.00326375]
 [ 0.29999038]]","[[ 722.36170657]
 [ 174.55044758]
 [1482.69386597]]"
162,3rd,"(533, 302)","(664, 304)","(598, 303)","(604, 389)","(951, 569)","[[-3.09766357]
 [ 0.00479727]
 [ 0.32166561]]","[[ 700.06049924]
 [ 171.72499782]
 [1462.45520842]]"
163,3rd,"(533, 299)","(665, 302)","(599, 300)","(603, 387)","(920, 561)","[[-3.09442842]
 [ 0.00540889]
 [ 0.34861515]]","[[ 698.20750577]
 [ 166.95476168]
 [1464.00720426]]"
164,3rd,"(536, 296)","(669, 299)","(602, 297)","(606, 385)","(968, 568)","[[-3.09024954e+00]
 [ 1.94569665e-04]
 [ 3.16641476e-01]]","[[ 704.11646532]
 [ 160.7079098 ]
 [1456.65712067]]"
165,3rd,"(546, 296)","(679, 300)","(612, 298)","(611, 383)","(942, 561)","[[-3.08286632]
 [-0.00978437]
 [ 0.34481521]]","[[ 721.69740074]
 [ 159.6656277 ]
 [1471.29968162]]"
166,3rd,"(556, 292)","(690, 298)","(623, 295)","(618, 384)","(1171, 591)","[[-3.0952621 ]
 [-0.03870032]
 [ 0.19940916]]","[[ 726.09910694]
 [ 155.91166613]
 [1425.46522603]]"
167,3rd,"(563, 290)","(697, 298)","(630, 294)","(625, 383)","(1266, 602)","[[-3.09445335]
 [-0.05832497]
 [ 0.15223112]]","[[ 739.12587916]
 [ 153.55253623]
 [1413.70453465]]"
168,3rd,"(568, 288)","(702, 297)","(635, 292)","(631, 383)","(1250, 602)","[[-3.08911156]
 [-0.06962356]
 [ 0.18164466]]","[[ 749.09029198]
 [ 151.32358687]
 [1412.24685786]]"
169,3rd,"(568, 288)","(702, 297)","(635, 292)","(633, 383)","(1239, 611)","[[-3.0787094 ]
 [-0.06640495]
 [ 0.18994485]]","[[ 756.74367314]
 [ 150.81749645]
 [1417.47494039]]"
170,3rd,"(568, 286)","(703, 297)","(635, 291)","(636, 380)","(1301, 573)","[[-3.1043103 ]
 [-0.07285086]
 [ 0.15178314]]","[[ 763.55694507]
 [ 145.22759268]
 [1414.99637562]]"
171,3rd,"(571, 287)","(705, 298)","(638, 292)","(635, 381)","(1267, 582)","[[-3.09999509]
 [-0.07918383]
 [ 0.18175896]]","[[ 758.72302481]
 [ 148.66196765]
 [1411.97122939]]"
