,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
153,2nd,"(528, 185)","(677, 173)","(602, 179)","(606, 264)","(1064, 233)","[[-3.07277581]
 [ 0.10284234]
 [ 0.34171496]]","[[ 644.71740641]
 [ -99.7708756 ]
 [1329.49332881]]"
154,3rd,"(623, 130)","(769, 152)","(696, 141)","(716, 212)","(1862, -300)","[[-3.26148303]
 [-0.13910421]
 [ 0.03027218]]","[[ 913.10579615]
 [-232.72521192]
 [1355.08054334]]"
155,2nd,"(651, 107)","(793, 125)","(722, 116)","(722, 199)","(1858, 3)","[[-3.03829645]
 [-0.12281766]
 [ 0.18509715]]","[[ 895.02125651]
 [-244.01780174]
 [1299.44634927]]"
156,2nd,"(661, 147)","(794, 158)","(727, 152)","(738, 234)","(1736, 66)","[[-3.09163207]
 [-0.1160138 ]
 [ 0.20642086]]","[[ 955.67364343]
 [-177.8787282 ]
 [1350.90751188]]"
157,3rd,"(592, 282)","(786, 292)","(689, 287)","(690, 439)","(2049, 2319)","[[-2.85989214]
 [ 0.06563256]
 [ 0.42929885]]","[[ 656.67151931]
 [ 181.34684922]
 [1060.1742589 ]]"
158,2nd,"(754, 214)","(917, 234)","(835, 224)","(852, 363)","(1273, 358)","[[ 0.10778525]
 [-1.70726718]
 [-0.02889384]]","[[-1077.14320896]
 [  -55.65147386]
 [-1204.6968696 ]]"
159,3rd,"(694, 210)","(874, 236)","(784, 223)","(777, 360)","(25964, 7024)","[[-3.01352653]
 [-0.1493261 ]
 [ 0.25454893]]","[[781.2064511 ]
 [ 54.71171819]
 [994.29362885]]"
160,3rd,"(627, 218)","(817, 235)","(722, 226)","(717, 363)","(3800, 2015)","[[-2.97484859]
 [-0.06928914]
 [ 0.45669905]]","[[ 683.31517331]
 [  64.19954582]
 [1013.99271366]]"
161,2nd,"(617, 162)","(752, 166)","(684, 164)","(692, 225)","(1082, 30)","[[-3.15025292]
 [-0.10983493]
 [ 0.41244044]]","[[ 953.27558985]
 [-209.7469459 ]
 [1532.10123799]]"
162,2nd,"(605, 169)","(757, 167)","(681, 168)","(700, 226)","(1100, 31)","[[-3.15619378]
 [-0.08496284]
 [ 0.40185135]]","[[ 981.81210052]
 [-213.22805625]
 [1548.23654885]]"
163,2nd,"(628, 162)","(766, 170)","(697, 166)","(706, 226)","(1135, 7)","[[-3.16133012]
 [-0.11635022]
 [ 0.41420731]]","[[ 976.0576741 ]
 [-209.05679971]
 [1512.63002622]]"
164,2nd,"(625, 173)","(765, 178)","(695, 175)","(703, 239)","(1143, 67)","[[-3.14097051]
 [-0.1046639 ]
 [ 0.40632463]]","[[ 959.70750484]
 [-173.15437469]
 [1498.01137671]]"
